"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","weather_condition"
"26","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-26",8.5,",,W",NA,"",0,",,W,2400",0,",,W",30,"H,,S",36,",,W",25,",,W",220,",,W",230,",,W",17,",,W",21,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"27","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-27",13.2,",,W",NA,"",0,",,W,2400",0,",,W",35,"H,,S",47,",,W",27,",,W",190,",,W",190,",,W",25.9,",,W",33.1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"28","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-28",10.07,",,W",NA,"",0,",,W,2400",0,",,W",34,"H,,S",42,",,W",24,",,W",320,",,W",320,",,W",18.1,",,W",23.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"29","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-29",12.53,",,W",NA,"",0.05,",,W,2400",0,"T,,W",28,"H,,S",38,",,W",20,",,W",120,",,W",120,",,W",19.9,",,W",23,",,W",1,",,W",NA,"",NA,"",1,",,W",NA,"",NA,"",NA,"",NA,"","No Snow"
"30","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-30",15.88,",,W",NA,"",0.16,",,W,2400",0.5,",,W",33,"H,,S",39,",,W",9,",,W",270,",,W",270,",,W",33.1,",,W",44.1,",,W",1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W","Snow"
"31","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-01-31",17.22,",,W",NA,"",0,",,W,2400",0,",,W",12,"H,,S",18,",,W",5,",,W",260,",,W",280,",,W",25.1,",,W",36,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"32","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-01",13.2,",,W",NA,"",0,",,W,2400",0,",,W",16,"H,,S",23,",,W",10,",,W",260,",,W",250,",,W",21.9,",,W",29.1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"33","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-02",12.75,",,W",NA,"",0,",,W,2400",0,",,W",22,"H,,S",35,",,W",14,",,W",220,",,W",250,",,W",25.1,",,W",32,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"34","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-03",6.26,",,W",NA,"",0,",,W,2400",0,",,W",34,"H,,S",39,",,W",27,",,W",200,",,W",210,",,W",14.1,",,W",18.1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","No Snow"
"35","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-04",9.4,",,W",NA,"",0,",,W,2400",0,",,W",45,"H,,S",63,",,W",35,",,W",220,",,W",210,",,W",16.1,",,W",21.9,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","No Snow"
"36","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-05",12.08,",,W",NA,"",0,"T,,W,2400",0,",,W",51,"H,,S",65,",,W",40,",,W",290,",,W",280,",,W",19.9,",,W",28,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"37","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-06",10.07,",,W",NA,"",0.37,",,W,2400",0,",,W",40,"H,,S",44,",,W",33,",,W",320,",,W",330,",,W",16.1,",,W",21,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
